"run_order","package","module","section","table","group","name","file","units","description","optional","key"
1,"VESimHouseholds","CreateHouseholds","Inp","Azone","Year","Age0to14","azone_hh_pop_by_age.csv","PRSN","Household (non-group quarters) population in 0 to 14 year old age group",FALSE,"Year::Azone::Age0to14"
1,"VESimHouseholds","CreateHouseholds","Inp","Azone","Year","Age15to19","azone_hh_pop_by_age.csv","PRSN","Household (non-group quarters) population in 15 to 19 year old age group",FALSE,"Year::Azone::Age15to19"
1,"VESimHouseholds","CreateHouseholds","Inp","Azone","Year","Age20to29","azone_hh_pop_by_age.csv","PRSN","Household (non-group quarters) population in 20 to 29 year old age group",FALSE,"Year::Azone::Age20to29"
1,"VESimHouseholds","CreateHouseholds","Inp","Azone","Year","Age30to54","azone_hh_pop_by_age.csv","PRSN","Household (non-group quarters) population in 30 to 54 year old age group",FALSE,"Year::Azone::Age30to54"
1,"VESimHouseholds","CreateHouseholds","Inp","Azone","Year","Age55to64","azone_hh_pop_by_age.csv","PRSN","Household (non-group quarters) population in 55 to 64 year old age group",FALSE,"Year::Azone::Age55to64"
1,"VESimHouseholds","CreateHouseholds","Inp","Azone","Year","Age65Plus","azone_hh_pop_by_age.csv","PRSN","Household (non-group quarters) population in 65 or older age group",FALSE,"Year::Azone::Age65Plus"
1,"VESimHouseholds","CreateHouseholds","Inp","Azone","Year","AveHhSize","azone_hhsize_targets.csv","PRSN/HH","Average household size of households (non-group quarters)",FALSE,"Year::Azone::AveHhSize"
1,"VESimHouseholds","CreateHouseholds","Inp","Azone","Year","Prop1PerHh","azone_hhsize_targets.csv","proportion of households","Proportion of households (non-group quarters) having only one person",FALSE,"Year::Azone::Prop1PerHh"
1,"VESimHouseholds","CreateHouseholds","Inp","Azone","Year","GrpAge0to14","azone_gq_pop_by_age.csv","PRSN","Group quarters population in 0 to 14 year old age group",FALSE,"Year::Azone::GrpAge0to14"
1,"VESimHouseholds","CreateHouseholds","Inp","Azone","Year","GrpAge15to19","azone_gq_pop_by_age.csv","PRSN","Group quarters population in 15 to 19 year old age group",FALSE,"Year::Azone::GrpAge15to19"
1,"VESimHouseholds","CreateHouseholds","Inp","Azone","Year","GrpAge20to29","azone_gq_pop_by_age.csv","PRSN","Group quarters population in 20 to 29 year old age group",FALSE,"Year::Azone::GrpAge20to29"
1,"VESimHouseholds","CreateHouseholds","Inp","Azone","Year","GrpAge30to54","azone_gq_pop_by_age.csv","PRSN","Group quarters population in 30 to 54 year old age group",FALSE,"Year::Azone::GrpAge30to54"
1,"VESimHouseholds","CreateHouseholds","Inp","Azone","Year","GrpAge55to64","azone_gq_pop_by_age.csv","PRSN","Group quarters population in 55 to 64 year old age group",FALSE,"Year::Azone::GrpAge55to64"
1,"VESimHouseholds","CreateHouseholds","Inp","Azone","Year","GrpAge65Plus","azone_gq_pop_by_age.csv","PRSN","Group quarters population in 65 or older age group",FALSE,"Year::Azone::GrpAge65Plus"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","Azone","","ID","",FALSE,"Year::Azone::Azone"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","Marea","","ID","",FALSE,"Year::Azone::Marea"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","Age0to14","","PRSN","",FALSE,"Year::Azone::Age0to14"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","Age15to19","","PRSN","",FALSE,"Year::Azone::Age15to19"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","Age20to29","","PRSN","",FALSE,"Year::Azone::Age20to29"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","Age30to54","","PRSN","",FALSE,"Year::Azone::Age30to54"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","Age55to64","","PRSN","",FALSE,"Year::Azone::Age55to64"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","Age65Plus","","PRSN","",FALSE,"Year::Azone::Age65Plus"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","AveHhSize","","PRSN/HH","",FALSE,"Year::Azone::AveHhSize"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","Prop1PerHh","","proportion of households","",FALSE,"Year::Azone::Prop1PerHh"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","GrpAge0to14","","PRSN","",FALSE,"Year::Azone::GrpAge0to14"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","GrpAge15to19","","PRSN","",FALSE,"Year::Azone::GrpAge15to19"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","GrpAge20to29","","PRSN","",FALSE,"Year::Azone::GrpAge20to29"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","GrpAge30to54","","PRSN","",FALSE,"Year::Azone::GrpAge30to54"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","GrpAge55to64","","PRSN","",FALSE,"Year::Azone::GrpAge55to64"
1,"VESimHouseholds","CreateHouseholds","Get","Azone","Year","GrpAge65Plus","","PRSN","",FALSE,"Year::Azone::GrpAge65Plus"
1,"VESimHouseholds","CreateHouseholds","Set","Azone","Year","NumHh","","HH","Number of households (non-group quarters)",FALSE,"Year::Azone::NumHh"
1,"VESimHouseholds","CreateHouseholds","Set","Azone","Year","NumGq","","PRSN","Number of people in non-institutional group quarters",FALSE,"Year::Azone::NumGq"
1,"VESimHouseholds","CreateHouseholds","Set","Household","Year","HhId","","ID","Unique household ID",FALSE,"Year::Household::HhId"
1,"VESimHouseholds","CreateHouseholds","Set","Household","Year","Azone","","ID","Azone ID",FALSE,"Year::Household::Azone"
1,"VESimHouseholds","CreateHouseholds","Set","Household","Year","Marea","","ID","Marea ID",FALSE,"Year::Household::Marea"
1,"VESimHouseholds","CreateHouseholds","Set","Household","Year","HhSize","","PRSN","Number of persons",FALSE,"Year::Household::HhSize"
1,"VESimHouseholds","CreateHouseholds","Set","Household","Year","Age0to14","","PRSN","Persons in 0 to 14 year old age group",FALSE,"Year::Household::Age0to14"
1,"VESimHouseholds","CreateHouseholds","Set","Household","Year","Age15to19","","PRSN","Persons in 15 to 19 year old age group",FALSE,"Year::Household::Age15to19"
1,"VESimHouseholds","CreateHouseholds","Set","Household","Year","Age20to29","","PRSN","Persons in 20 to 29 year old age group",FALSE,"Year::Household::Age20to29"
1,"VESimHouseholds","CreateHouseholds","Set","Household","Year","Age30to54","","PRSN","Persons in 30 to 54 year old age group",FALSE,"Year::Household::Age30to54"
1,"VESimHouseholds","CreateHouseholds","Set","Household","Year","Age55to64","","PRSN","Persons in 55 to 64 year old age group",FALSE,"Year::Household::Age55to64"
1,"VESimHouseholds","CreateHouseholds","Set","Household","Year","Age65Plus","","PRSN","Persons in 65 or older age group",FALSE,"Year::Household::Age65Plus"
1,"VESimHouseholds","CreateHouseholds","Set","Household","Year","HhType","","category","Coded household age composition (e.g. 2-1-0-2-0-0) or Grp for group quarters",FALSE,"Year::Household::HhType"
2,"VESimHouseholds","PredictWorkers","Inp","Azone","Year","RelEmp15to19","azone_relative_employment.csv","proportion","Ratio of workers to persons age 15 to 19 in model year vs. in estimation data year",TRUE,"Year::Azone::RelEmp15to19"
2,"VESimHouseholds","PredictWorkers","Inp","Azone","Year","RelEmp20to29","azone_relative_employment.csv","proportion","Ratio of workers to persons age 20 to 29 in model year vs. in estimation data year",TRUE,"Year::Azone::RelEmp20to29"
2,"VESimHouseholds","PredictWorkers","Inp","Azone","Year","RelEmp30to54","azone_relative_employment.csv","proportion","Ratio of workers to persons age 30 to 54 in model year vs. in estimation data year",TRUE,"Year::Azone::RelEmp30to54"
2,"VESimHouseholds","PredictWorkers","Inp","Azone","Year","RelEmp55to64","azone_relative_employment.csv","proportion","Ratio of workers to persons age 55 to 64 in model year vs. in estimation data year",TRUE,"Year::Azone::RelEmp55to64"
